f150_descripcion;f120_referencia;f121_id_barras_principal;f120_descripcion;f117_descripcion_color;f121_id_ext1_detalle;f121_id_ext2_detalle;CATEGORIA;LINEA;MARCA;COLECCION;SECTOR;f400_fecha_ult_entrada;f400_fecha_ult_salida;f400_cant_existencia_1;f400_cant_comprometida_1;f400_cant_pendiente_salir_1;FECHA MINIMA ENTRADA;FECHA MAXIMA ENTRADA;FECHA MINIMA SALIDA;FECHA MAXIMA SALIDA
CONSIGNACION CAROLINA MACHADO;PF31112430                                        ;7706718430735;BLUSA MACKENZIE;BLANCO CRUDO;101;S                   ;RAGSTYLE;CAMISA;RAGSTYLE                                ;PROMO RAGSTYLE ABRIL ECOMMERCE 2021;CAMISA DE TIRAS                         ;03/11/2023;NULL;2;0;0;NULL;NULL;NULL;NULL
UNICO CALI;PF19120092                                        ;7706718431176;CAMISETA TORCELLO;AZUL OSCURO;401;XS                  ;RAGGED VIP                              ;CAMISETA;RAGGED                                  ;SEPTIEMBRE RAGGED C2 2023;CAMISETA MANGA 3/4                      ;31/01/2025;30/06/2025;2;0;0;13/11/2021;31/01/2025;13/11/2021;13/11/2021
UNICO CALI;PF19120092                                        ;7706718431152;CAMISETA TORCELLO;AZUL OSCURO;401;S                   ;RAGGED VIP                              ;CAMISETA;RAGGED                                  ;SEPTIEMBRE RAGGED C2 2023;CAMISETA MANGA 3/4                      ;31/01/2025;02/05/2025;4;0;0;13/11/2021;31/01/2025;13/11/2021;13/11/2021
NUESTRO URABA;PF19120092                                        ;7706718431206;CAMISETA TORCELLO;AMARILLO MOSTAZA;702;S                   ;RAGGED VIP                              ;CAMISETA;RAGGED                                  ;SEPTIEMBRE RAGGED C2 2023;CAMISETA MANGA 3/4                      ;31/01/2025;03/05/2025;10;0;0;13/11/2021;31/01/2025;13/11/2021;13/11/2021
NUESTRO URABA;PF19120092                                        ;7706718431190;CAMISETA TORCELLO;AMARILLO MOSTAZA;702;M                   ;RAGGED VIP                              ;CAMISETA;RAGGED                                  ;SEPTIEMBRE RAGGED C2 2023;CAMISETA MANGA 3/4                      ;31/01/2025;24/03/2022;1;0;0;13/11/2021;31/01/2025;13/11/2021;13/11/2021
NUESTRO URABA;PF19120092                                        ;7706718431220;CAMISETA TORCELLO;AMARILLO MOSTAZA;702;XS                  ;RAGGED VIP                              ;CAMISETA;RAGGED                                  ;SEPTIEMBRE RAGGED C2 2023;CAMISETA MANGA 3/4                      ;31/01/2025;07/02/2022;4;0;0;13/11/2021;31/01/2025;13/11/2021;13/11/2021
PUENTE ARANDA;PF31112426                                        ;7706718432005;BLUSA ETNA;NEGRO;1;S                   ;RAGSTYLE;CAMISA;RAGSTYLE                                ;PROMO RAGSTYLE ABRIL ECOMMERCE 2021;CAMISA DE TIRAS                         ;01/10/2023;26/12/2024;3;0;0;21/10/2021;1/10/2023;21/10/2021;21/10/2021
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF35510148                                        ;7706718432555;VESTIDO GALICIA;AZUL CLARO;450;M                   ;RAGSTYLE INDIGO                         ;VESTIDO;RAGSTYLE                                ;RAGSTYLE ECOMMERCE ABRIL-MAYO 2021;VESTIDO CORTO MANGA 3/4                 ;17/06/2024;21/06/2024;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF51110931                                        ;7706718432999;BLUSA NILO;AZUL MEDIO;420;XS                  ;FORMETOO;CAMISA;FORMETOO                                ;PROMOCIONES OCTUBRE 2021;CAMISA MANGA 3/4                        ;04/12/2023;23/08/2021;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF51510091                                        ;7706718433231;VESTIDO POMA ROSA;AZUL OSCURO;401;XS                  ;FOR ME TOO JEANS WEAR                   ;VESTIDO;FORMETOO                                ;PROMOCIONES OCTUBRE 2021;VESTIDO LARGO MANGA SISA                ;30/01/2023;16/03/2022;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11511014                                        ;7706718434542;VESTIDO MINETTI;CALIDAD TIPO B;0;S                   ;TRENDS;VESTIDO;RAGGED                                  ;PROMOCIONES OCTUBRE 2021;VESTIDO LARGO MANGA 3/4                 ;22/01/2025;23/03/2023;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF31112427                                        ;7706718433644;BLUSA RESORT;COBRE;220;S                   ;RAGSTYLE;CAMISA;RAGSTYLE                                ;PROMO RAGSTYLE ABRIL ECOMMERCE 2021;CAMISA MANGA CORTA                      ;05/12/2023;06/02/2025;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF31112427                                        ;7706718433637;BLUSA RESORT;COBRE;220;M                   ;RAGSTYLE;CAMISA;RAGSTYLE                                ;PROMO RAGSTYLE ABRIL ECOMMERCE 2021;CAMISA MANGA CORTA                      ;07/02/2025;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF51120574                                        ;7706718434191;CAMISETA GOOD THINGS;ROSADO OSCURO;651;XS                  ;FORMETOO;CAMISETA;FORMETOO                                ;DICIEMBRE RAGGED C1 2021;CAMISETA MANGA CORTA                    ;09/08/2024;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF31120939                                        ;7706718433415;CAMISETA HOLLYWOOD;BLANCO CRUDO;101;M                   ;RAGSTYLE;CAMISETA;RAGSTYLE                                ;PROMO RAGSTYLE ABRIL ECOMMERCE 2021;CAMISETA MANGA CORTA                    ;01/11/2024;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF31510862                                        ;7706718432746;VESTIDO WHISTER;COBRE;220;S                   ;RAGSTYLE JEANS WEAR                     ;VESTIDO;RAGSTYLE                                ;RAGSTYLE ECOMMERCE ABRIL-MAYO 2021;VESTIDO LARGO MANGA CORTA               ;12/08/2024;22/12/2023;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF31112435                                        ;7706718436379;BLUSA MONTREAL;ROJO PURO;600;S                   ;RAGSTYLE;CAMISA;RAGSTYLE                                ;RAGSTYLE ECOMMERCE ABRIL-MAYO 2021;CAMISA MANGA PETALO                     ;21/05/2024;28/12/2023;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11511011                                        ;7706718435266;VESTIDO TABATHA;COBRE;220;XS                  ;TRENDS;VESTIDO;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;VESTIDO CORTO MANGA LARGA               ;31/07/2025;21/05/2024;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11530076                                        ;7706718449782;ENTERIZO EYRE;VERDE OLIVO;306;L                   ;TRENDS;ENTERIZO;RAGGED                                  ;PROMOCIONES OCTUBRE 2021;ENTERIZO LARGO DE TIRAS                 ;04/06/2024;04/06/2024;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11112233                                        ;7706718436461;BLUSA VICTORIA;BLANCO CRUDO;101;S                   ;TRENDS;CAMISA;RAGGED                                  ;EXTRA ONLINE JULIO;CAMISA MANGA CORTA                      ;31/07/2025;11/02/2025;2;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF11112235                                        ;7706718436881;BLUSA CHERRY BLOSSOM;ROSADO;650;XS                  ;TRENDS;CAMISA;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;CAMISA MANGA SISA                       ;05/12/2023;07/05/2025;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11310640                                        ;7706718437604;PANTALON ANDINA;BLANCO CRUDO;101;6;TRENDS;PANTALON;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;PANTALON BOTA RECTA                     ;27/04/2022;13/05/2022;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11310640                                        ;7706718437611;PANTALON ANDINA;BLANCO CRUDO;101;8;TRENDS;PANTALON;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;PANTALON BOTA RECTA                     ;19/04/2022;07/07/2021;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11310640                                        ;7706718437598;PANTALON ANDINA;BLANCO CRUDO;101;14;TRENDS;PANTALON;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;PANTALON BOTA RECTA                     ;19/04/2022;03/11/2023;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF11120938                                        ;7706718438267;CAMISETA BONDI;NEGRO;1;XS                  ;TRENDS;CAMISETA;RAGGED                                  ;NOVIEMBRE RAGGED C3 2021;CAMISETA MANGA CORTA                    ;14/07/2025;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF11310641                                        ;7706718439165;PANTALON ATACAMA;ROJO VINO;630;8;TRENDS;PANTALON;RAGGED                                  ;ECOMMERCE PROMO SEPTIEMBRE 2022;PANTALON BOTA TUBO                      ;12/12/2022;22/04/2023;1;0;0;NULL;NULL;NULL;NULL
GUAYABAL 2;PF11310641                                        ;7706718439257;PANTALON ATACAMA;AMARILLO MOSTAZA;702;6;TRENDS;PANTALON;RAGGED                                  ;ECOMMERCE PROMO SEPTIEMBRE 2022;PANTALON BOTA TUBO                      ;25/07/2025;16/01/2024;1;0;0;22/02/2022;25/07/2025;22/02/2022;22/02/2022
GUAYABAL 2;PF11310641                                        ;7706718439080;PANTALON ATACAMA;CALIDAD TIPO B;0;12;TRENDS;PANTALON;RAGGED                                  ;ECOMMERCE PROMO SEPTIEMBRE 2022;PANTALON BOTA TUBO                      ;09/11/2021;04/05/2022;1;0;0;9/11/2021;9/11/2021;9/11/2021;9/11/2021
CONSIGNACION CAROLINA MACHADO;PF31510867                                        ;7706718441182;VESTIDO PALM BEACH;ROJO MEDIO;610;L                   ;RAGSTYLE;VESTIDO;RAGSTYLE                                ;RAGSTYLE ECOMMERCE ABRIL-MAYO 2021;VESTIDO CORTO MANGA CORTA               ;21/05/2024;NULL;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF31120946                                        ;7706718440765;CAMISETA SEE YOU;AZUL TURQUESA;440;S                   ;RAGSTYLE;CAMISETA;RAGSTYLE                                ;RAGSTYLE ECOMMERCE ABRIL-MAYO 2021;CAMISETA MANGA CORTA                    ;08/02/2022;08/02/2022;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF51110934                                        ;7706718442981;TOP POMA ROSA;AZUL MEDIO;420;XS                  ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;CAMISA DE TIRAS                         ;19/04/2022;23/08/2021;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF35310082                                        ;7706718444954;PANTALON TIANA;AZUL MEDIO;420;10;RAGSTYLE INDIGO                         ;PANTALON;RAGSTYLE                                ;PROMO RAGSTYLE ECOMMERCE 2021;PANTALON BOTA RECTA                     ;21/02/2022;03/01/2022;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF51350245                                        ;7706718445821;JEANS SLOUCHY;AZUL OSCURO;401;14;FOR ME TOO JEANS WEAR                   ;JEANS;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;JEANS BOTA RECTA                        ;07/02/2025;29/12/2021;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF51320043                                        ;7706718447290;FALDA PALMA;AZUL MEDIO;420;6;FOR ME TOO JEANS WEAR                   ;FALDA;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;FALDA CORTA                             ;05/12/2023;NULL;1;0;0;NULL;NULL;NULL;NULL
RIONEGRO;PF51320043                                        ;7706718447290;FALDA PALMA;AZUL MEDIO;420;6;FOR ME TOO JEANS WEAR                   ;FALDA;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;FALDA CORTA                             ;05/07/2023;08/02/2025;1;0;0;11/06/2021;5/07/2023;11/06/2021;11/06/2021
GUAYABAL 2;PF51320043                                        ;7706718447252;FALDA PALMA;CALIDAD TIPO B;0;6;FOR ME TOO JEANS WEAR                   ;FALDA;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;FALDA CORTA                             ;01/09/2021;22/07/2025;3;0;0;1/09/2021;1/09/2021;1/09/2021;1/09/2021
LA 65;PF51320043                                        ;7706718447290;FALDA PALMA;AZUL MEDIO;420;6;FOR ME TOO JEANS WEAR                   ;FALDA;FORMETOO                                ;PROMO TEMPORADA ENERO 2022;FALDA CORTA                             ;23/09/2024;24/01/2025;3;0;0;17/07/2021;23/09/2024;17/07/2021;17/07/2021
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11120941                                        ;7706718448129;TEJIDO PALVIN;BEIGE OSCURO;251;M                   ;TRENDS;CAMISETA;RAGGED                                  ;JUNIO RAGGED C2 2021;BUZO MANGA LARGA;19/04/2022;23/08/2021;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF51110935                                        ;7706718448624;BLUSA ABBY TENCEL;AZUL CLARO;450;S                   ;FOR ME TOO JEANS WEAR                   ;CAMISA;FORMETOO                                ;ECOMMERCE PROMO SEPTIEMBRE 2022;CAMISA MANGA CORTA                      ;15/07/2025;20/08/2024;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF11112240                                        ;7706718451143;BLUSA ANTAMI;BLANCO CRUDO;101;XS                  ;TRENDS;CAMISA;RAGGED                                  ;JUNIO RAGGED C2 2021;CAMISA MANGA CORTA                      ;12/08/2024;NULL;1;0;0;NULL;NULL;NULL;NULL
CONSIGNACION CAROLINA MACHADO;PF13120491                                        ;7706718451471;BODY OCEANIA;BLANCO CRUDO;101;XS                  ;RAGGED;BODY;RAGGED                                  ;PROMO TEMPORADA ENERO 2022;BODY                                    ;31/01/2022;NULL;1;0;0;NULL;NULL;NULL;NULL
PRODUCTO TERMINADO SEGUNDAS Y REMANENTES;PF11310642                                        ;7706718451600;PANTALON CORDUROY;BLANCO CRUDO;101;6;TRENDS;PANTALON;RAGGED                                  ;PROMO ESPECIAL JULIO 2022;PANTALON BOTA RECTA                     ;03/06/2022;12/08/2024;1;0;0;NULL;NULL;NULL;NULL
INSUMOS;IE290026                                          ;N/A;BANDERA FMT PRETINA PÁJARO NUEVA IMAGEN;GENERICO;GEN                 ;GEN                 ;N/A;N/A;N/A;JUNIO RAGGED 2023;N/A;04/07/2025;24/07/2025;2540;0;0;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;L                   ;N/A;N/A;N/A;NA;N/A;24/06/2025;28/07/2025;4213;0;363;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;M                   ;N/A;N/A;N/A;NA;N/A;24/06/2025;28/07/2025;4762;0;730;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;S                   ;N/A;N/A;N/A;NA;N/A;24/06/2025;28/07/2025;4695;0;730;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;XL                  ;N/A;N/A;N/A;NA;N/A;18/10/2024;10/10/2024;8049;0;0;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;XS                  ;N/A;N/A;N/A;NA;N/A;24/06/2025;31/07/2025;1320;0;680;NULL;NULL;NULL;NULL
INSUMOS;IS290047                                          ;N/A;MARQUILLA HILADILLA FMT SUPERIOR NUEVA I;GENERICO;GEN                 ;XXS                 ;N/A;N/A;N/A;NA;N/A;03/07/2025;28/07/2025;2760;0;313;NULL;NULL;NULL;NULL
INSUMOS;IS290048                                          ;N/A;MARQUILLA FMT SUPERIOR NUEVA IMAGEN 21;GENERICO;GEN                 ;S                   ;N/A;N/A;N/A;NA;N/A;25/06/2025;24/07/2025;3482;0;0;NULL;NULL;NULL;NULL
